# Navigation System Test Queries
# Format: DIFFICULTY_LEVEL|QUERY_TEXT

# EASY QUERIES (30 total)
# 15 with explicit origin, 15 without origin

EASY|I'm starting at Stanford University. Find me an optimal route to visit the Golden Gate Bridge and Half Moon Bay
EASY|From Palo Alto City Hall, plan the best route to Fisherman's Wharf and Sausalito
EASY|Starting from San Jose Airport, get me an optimal path to visit Alcatraz Island and Union Square
EASY|I'm at Facebook headquarters in Menlo Park. Route me optimally to the Palace of Fine Arts and Lombard Street
EASY|From Mountain View Caltrain Station, find the best route to Ghirardelli Square and Crissy Field
EASY|Beginning at Stanford Shopping Center, plan an optimal route to Pier 39 and the Painted Ladies
EASY|I'm starting from Google headquarters in Mountain View. Find me the best route to visit Chinatown and North Beach
EASY|From San Francisco Airport, create an optimal route to the Castro District and Mission Dolores
EASY|Starting at UC Berkeley, plan the best path to Lombard Street and Telegraph Hill
EASY|I'm at Oracle Park in San Francisco. Find an optimal route to Golden Gate Park and the Presidio
EASY|From Redwood City Courthouse, get me the best route to visit Nob Hill and Russian Hill
EASY|Beginning at Stanford Memorial Church, plan an optimal route to Treasure Island and the Embarcadero
EASY|I'm starting from Menlo Park Library. Find the best route to visit Fort Point and Baker Beach
EASY|From San Mateo Bridge, create an optimal path to Haight-Ashbury and the Marina District
EASY|Starting at Palo Alto High School, find the best route to visit Coit Tower and Washington Square Park
EASY|Find me an optimal route to visit the Golden Gate Bridge and Berkeley Marina
EASY|Plan the best route to Muir Woods and Tiburon
EASY|Get me an optimal path to visit Stanford Stadium and Great America
EASY|Route me optimally to Santana Row and Valley Fair Mall
EASY|Find the best route to Half Moon Bay and Pacifica Pier
EASY|Create an optimal route to visit Napa Valley and Sonoma Plaza
EASY|Plan the best path to UC Santa Cruz and Capitola Beach
EASY|Get me an optimal route to visit Gilroy Gardens and Casa de Fruta
EASY|Find the best route to San Gregorio Beach and Año Nuevo State Park
EASY|Route me optimally to Livermore Premium Outlets and Blackhawk Plaza
EASY|Plan an optimal path to visit Fremont Central Park and Ardenwood Historic Farm
EASY|Find the best route to Hayward Japanese Gardens and Castro Valley Marketplace
EASY|Create an optimal route to visit Milpitas Great Mall and Newpark Mall
EASY|Get me the best path to San Francisco Zoo and Ocean Beach
EASY|Plan an optimal route to visit Daly City Serramonte Center and Colma BART Station

# MEDIUM QUERIES (30 total)
# 15 with explicit origin, 15 without origin

MEDIUM|I'm starting at Stanford University. Find me an optimal route to visit a coffee shop and Whole Foods
MEDIUM|From Palo Alto Train Station, plan the best route to a gas station and Target
MEDIUM|Starting from Google headquarters, get me an optimal path to visit a pharmacy and In-N-Out Burger
MEDIUM|I'm at San Francisco City Hall. Route me optimally to a bookstore and the nearest Starbucks
MEDIUM|From UC Berkeley campus, find the best route to a Mexican restaurant and CVS
MEDIUM|Beginning at Oracle headquarters in Redwood City, plan an optimal route to a sushi restaurant and Best Buy
MEDIUM|I'm starting from Menlo Park Caltrain. Find me the best route to visit a dry cleaner and Trader Joe's
MEDIUM|From San Jose State University, create an optimal route to a pizza place and Walgreens
MEDIUM|Starting at Facebook headquarters, plan the best path to a nail salon and Safeway
MEDIUM|I'm at Palo Alto City Hall. Find an optimal route to a dental office and Home Depot
MEDIUM|From Stanford Shopping Center, get me the best route to visit a bank and Costco
MEDIUM|Beginning at Mountain View Library, plan an optimal route to a hair salon and Walmart
MEDIUM|I'm starting from Redwood City downtown. Find the best route to visit an auto repair shop and Nordstrom
MEDIUM|From Campbell Community Center, create an optimal path to a veterinarian and Macy's
MEDIUM|Starting at Los Altos Hills, find the best route to visit a bakery and REI
MEDIUM|Find me an optimal route to visit a coffee shop and a grocery store
MEDIUM|Plan the best route to a gas station and a pharmacy
MEDIUM|Get me an optimal path to visit a restaurant and a bookstore
MEDIUM|Route me optimally to a bank and a hardware store
MEDIUM|Find the best route to a gym and a dry cleaner
MEDIUM|Create an optimal route to visit a nail salon and a pet store
MEDIUM|Plan the best path to a dentist and a shopping mall
MEDIUM|Get me an optimal route to visit a library and a Mexican restaurant
MEDIUM|Find the best route to a Starbucks and a Target
MEDIUM|Route me optimally to a sushi place and a CVS
MEDIUM|Plan an optimal path to visit a bakery and a Best Buy
MEDIUM|Find the best route to a hair salon and a Whole Foods
MEDIUM|Create an optimal route to visit a pizza place and a Walgreens
MEDIUM|Get me the best path to an auto shop and a Trader Joe's
MEDIUM|Plan an optimal route to visit a veterinarian and a Costco

# HARD QUERIES (30 total)
# 15 with explicit origin, 15 without origin

HARD|I'm starting at Stanford University. Find me an optimal route to visit a grocery store, a coffee shop, and the Target in Mountain View
HARD|From Palo Alto City Hall, plan the best route to Walgreens, a sushi restaurant, and Stanford Shopping Center
HARD|Starting from Google headquarters, get me an optimal path to visit CVS, In-N-Out Burger, and a bookstore
HARD|I'm at San Francisco Airport. Route me optimally to a gas station, Whole Foods, and the Apple Store in Union Square
